old,new
custrecord_settlement_show_deductions,custrecord_sust_settle_show_deduct
custrecord_settlement_show_treatment,custrecord_sust_settle_show_treat
custrecord_settlement_show_penalties,custrecord_sust_settle_show_pen
custrecord_settlement_show_assay,custrecord_sust_settlement_show_assay
custrecord_schedule_vendor,custrecord_sust_schedule_vendor
custrecord_schedule_item,custrecord_sust_schedule_item
custrecord_schedule_method,custrecord_sust_schedule_method
custrecord_schedule_base_price,custrecord_sust_schedule_base_price
custrecord_schedule_market_ref,custrecord_sust_schedule_market_ref
custrecord_schedule_market_pct,custrecord_sust_schedule_market_pct
custrecord_schedule_market_adj,custrecord_sust_schedule_market_adj
custrecord_schedule_treatment_charge,custrecord_sust_sched_proc_charge
custrecord_schedule_min_content,custrecord_sust_schedule_min_content
custrecord_schedule_active,custrecord_sust_schedule_active
custrecord_schedule_effective_date,custrecord_sust_schedule_effective_date
custrecord_schedule_expiration_date,custrecord_sust_schedule_expiration_date
custrecord_schedule_include_oxide,custrecord_sust_schedule_include_oxide
customscript_nt_sl_alloc_preview,customscript_sust_sl_alloc_preview
customdeploy_nt_sl_alloc_preview,customdeploy_sust_sl_alloc_preview
customscript_nt_sl_calc_settle,customscript_sust_sl_calc_settle
customdeploy_nt_sl_calc_settle,customdeploy_sust_sl_calc_settle
customscript_nt_sl_close_dash,customscript_sust_sl_close_dash
customdeploy_nt_sl_close_dash,customdeploy_sust_sl_close_dash
customscript_nt_sl_create_settlement,customscript_sust_sl_create_settlement
customdeploy_nt_sl_create_settlement,customdeploy_sust_sl_create_settlement
customscript_nt_sl_lcnrv_dash,customscript_sust_sl_lcnrv_dash
customdeploy_nt_sl_lcnrv_dash,customdeploy_sust_sl_lcnrv_dash
customscript_nt_sl_lotchementry,customscript_sust_sl_lotchementry
customdeploy_nt_sl_lotchementry,customdeploy_sust_sl_lotchementry
customscript_nt_sl_position_report,customscript_sust_sl_position_report
custscript_posrpt_sub_id,custscript_sust_posrpt_sub_id
customdeploy_nt_sl_position_report,customdeploy_sust_sl_position_report
customscript_nt_sl_processingentry,customscript_sust_sl_processingentry
customdeploy_nt_sl_processingentry,customdeploy_sust_sl_processingentry
customscript_nt_sl_settlementcalculation,customscript_sust_sl_settlecalc
customdeploy_nt_sl_settlementcalculation,customdeploy_sust_sl_settlecalc
customscript_nt_sl_settleschedule,customscript_sust_sl_settleschedule
customdeploy_nt_sl_settleschedule,customdeploy_sust_sl_settleschedule
customscript_nt_sl_settle_pdf,customscript_sust_sl_settle_pdf
customdeploy_nt_sl_settle_pdf,customdeploy_sust_sl_settle_pdf
customscript_nt_sl_shipmatrix,customscript_sust_sl_shipmatrix
customdeploy_nt_sl_shipmatrix,customdeploy_sust_sl_shipmatrix
customscript_nt_ss_lcnrv,customscript_sust_ss_lcnrv
custscript_lcnrv_subsidiary,custscript_sust_lcnrv_subsidiary
custscript_lcnrv_min_variance_pct,custscript_sust_lcnrv_min_variance_pct
custscript_lcnrv_email_recipient,custscript_sust_lcnrv_email_recipient
customdeploy_nt_ss_lcnrv,customdeploy_sust_ss_lcnrv
customscript_nt_ue_cost_flow,customscript_sust_ue_cost_flow
customdeploy_nt_ue_cost_flow,customdeploy_sust_ue_cost_flow
customscript_nt_ue_ff_defaults,customscript_sust_ue_ff_defaults
customdeploy_nt_ue_ff_defaults,customdeploy_sust_ue_ff_defaults
customscript_nt_ue_ir_buttons,customscript_sust_ue_ir_buttons
custscript_tintech_sub_id_btn,custscript_sust_sub_id_btn
customdeploy_nt_ue_ir_buttons,customdeploy_sust_ue_ir_buttons
customscript_nt_ue_ir_landed_cost,customscript_sust_ue_ir_landed_cost
custscript_tintech_sub_id_landed,custscript_sust_sub_id_landed
customdeploy_nt_ue_ir_landed_cost,customdeploy_sust_ue_ir_landed_cost
customscript_nt_ue_ir_settlement,customscript_sust_ue_ir_settlement
custscript_tintech_subsidiary_id,custscript_sust_subsidiary_id
customdeploy_nt_ue_ir_settlement,customdeploy_sust_ue_ir_settlement
customscript_nt_ue_ir_vendor_lot,customscript_sust_ue_ir_vendor_lot
custscript_tintech_sub_id_bridge,custscript_sust_sub_id_bridge
customdeploy_nt_ue_ir_vendor_lot,customdeploy_sust_ue_ir_vendor_lot
customscript_nt_ue_line_links,customscript_sust_ue_line_links
custscript_line_links_sub_id,custscript_sust_line_links_sub_id
customdeploy_nt_ue_line_links_po,customdeploy_sust_ue_line_links_po
customdeploy_nt_ue_line_links_ir,customdeploy_sust_ue_line_links_ir
customscript_nt_ue_processing_invadj,customscript_sust_ue_processing_invadj
custscript_tintech_sub_id_proc_ia,custscript_sust_sub_id_proc_ia
customdeploy_nt_ue_processing_invadj,customdeploy_sust_ue_processing_invadj
customscript_nt_ue_proc_derived,customscript_sust_ue_proc_derived
customdeploy_nt_ue_proc_derived,customdeploy_sust_ue_proc_derived
customscript_nt_ue_settlement_status,customscript_sust_ue_settlement_status
custscript_settle_fee_item,custscript_sust_settle_fee_item
customdeploy_nt_ue_settlement_status,customdeploy_sust_ue_settlement_status
customscript_nt_ue_settle_mode,customscript_sust_ue_settle_mode
customdeploy_nt_ue_settle_mode,customdeploy_sust_ue_settle_mode
customscript_nt_ue_tintech_po,customscript_sust_ue_tintech_po
custscript_tintech_sub_id_po,custscript_sust_sub_id_po
customdeploy_nt_ue_tintech_po,customdeploy_sust_ue_tintech_po
custitemnumber_chem_,custitemnumber_sust_chem_
custitem_oxide_factor,custitem_sust_oxide_factor
custitem_typical_tin_content,custitem_sust_typical_tin_content
custitemnumber_chem_tin,custitemnumber_sust_chem_tin
